,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,ticker
335,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921,NEM
336,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013,NWSA
337,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013,NWS
338,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984,NEE
339,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964,NKE
340,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912,NI
341,Nordson Corporation,Industrials,Industrial Machinery,"Westlake, Ohio",2022-02-15,72331,1935,NDSN
342,Norfolk Southern Railway,Industrials,Railroads,"Atlanta, Georgia",1957-03-04,702165,1881/1894,NSC
343,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889,NTRS
344,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,1133421,1994,NOC
345,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,2011,NCLH
346,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871,1992,NRG
347,Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,1940,NUE
348,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,NVDA
349,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163,1980,NVR
350,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1413447,1953,NXPI
351,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,898173,1957,ORLY
352,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982-12-31,797468,1920,OXY
353,Old Dominion,Industrials,Trucking,"Thomasville, North Carolina",2019-12-09,878927,1934,ODFL
354,Omnicom Group,Communication Services,Advertising,"New York City, New York",,29989,1986,OMC
355,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022-06-21,1097864,1999,ON
356,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,1906,OKE
357,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977,ORCL
358,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021-06-03,1821825,2021,OGN
359,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",2020-04-03,1781335,2020,OTIS
360,Paccar,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,75362,1905,PCAR
361,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,75677,1959,PKG
362,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",,813828,2019,PARA
363,Parker Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,76334,1917,PH
364,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971,PAYX
365,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,1590955,1998,PAYC
366,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,1998,PYPL
367,Pentair,Industrials,Industrial Machinery,"Worsley, United Kingdom",2012-10-01,77360,1966,PNR
368,PepsiCo,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,77476,1898,PEP
369,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791,1937,PKI
370,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849,PFE
371,PG&E Corporation,Utilities,Multi-Utilities,"San Francisco, California",2022-10-03,1004980,1905,PCG
372,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008-03-31,1413329,2008,PM
373,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,2012,PSX
374,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985,PNW
375,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,1038357,1997,PXD
376,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845,PNC
377,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,945841,1993,POOL
378,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883,PPG
379,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1920,PPL
380,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879,PFG
381,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,80424,1837,PG
382,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937,PGR
383,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609,1983,PLD
384,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,1875,PRU
385,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903,PEG
386,PTC,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,857005,1985,PTC
387,Public Storage,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1393311,1972,PSA
388,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956,PHM
389,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,1604778,2015,QRVO
390,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915,1997,PWR
391,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,804328,1985,QCOM
392,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079,1967,DGX
393,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,1037038,1967,RL
394,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005,1962,RJF
395,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922,RTX
396,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969,O
397,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606,1963,REG
398,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,1988,REGN
399,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761,1971,RF
400,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998,RSG
401,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989,RMD
402,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,315213,1948,RHI
403,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903,ROK
404,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,84839,1948,ROL
405,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,882835,1981,ROP
406,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,745732,1982,ROST
407,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887,1997,RCL
408,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",,64040,1917,SPGI
409,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999,CRM
410,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,1034054,1989,SBAC
411,Schlumberger,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347,1926,SLB
412,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1137789,1979,STX
413,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",1957-03-04,1012100,1960,SEE
414,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998,SRE
415,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,1373715,2003,NOW
416,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800,1866,SHW
417,Signature Bank,Financials,Regional Banks,"New York City, New York",2021-12-20,1288784,2001,SBNY
418,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,2003,SPG
419,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,4127,2002,SWKS
420,The J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419,1897,SJM
421,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,91440,1920,SNA
422,SolarEdge,Information Technology,Semiconductor Equipment,"Herzliya, Israel",2021-12-20,1419612,2006,SEDG
423,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945,SO
424,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1994-07-01,92380,1967,LUV
425,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,93556,1843,SWK
426,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000-06-07,829224,1971,SBUX
427,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792,STT
428,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2022-12-22,1022671,1993,STLD
429,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,1757898,1985,STE
430,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764,1941,SYK
431,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018-03-19,719739,1983,SIVB
432,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,2003,SYF
433,Synopsys,Information Technology,Application Software,"Mountain View, California",2017-03-16,883241,1986,SNPS
434,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969,SYY
435,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994,TMUS
436,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,TROW
437,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018-03-19,946581,1993,TTWO
438,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",,1116132,2017,TPR
439,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,1389170,2005,TRGP
440,Target Corporation,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419,1902,TGT
441,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,1385157,2007,TEL
442,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,1094285,1960,TDY
443,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,96943,1943,TFX
444,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,97210,1960,TER
445,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,1318605,2003,TSLA
446,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,TXN
447,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923,TXT
448,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,97745,2006,TMO
449,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198,1987,TJX
450,Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,916365,1938,TSCO
451,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010-11-17,1466258,1871,TT
452,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221,1993,TDG
453,The Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853,TRV
454,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,864749,1978,TRMB
455,Truist,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,92230,1872,TFC
456,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,860731,1966,TYL
457,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935,TSN
458,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,USB
459,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208,1972,UDR
460,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1403568,1990,ULTA
461,Union Pacific Corporation,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,100885,1862,UNP
462,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",2015-09-03,100517,1967,UAL
463,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1090727,1907,UPS
464,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701,1997,URI
465,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,1977,UNH
466,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979,UHS
467,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980,VLO
468,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260,1998,VTR
469,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1014473,1995,VRSN
470,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971,VRSK
471,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983-11-30,732712,1983,VZ
472,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320,1989,VRTX
473,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30,103379,1899,VFC
474,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1792044,1961,VTRS
475,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017,VICI
476,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1403161,1958,V
477,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009,1909,VMC
478,Wabtec,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2019-02-27,943452,1999,WAB
479,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921,2014,WBA
480,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169,1962,WMT
481,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022-04-11,1437107,2022,WBD
482,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968,WM
483,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958,WAT
484,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,1896,WEC
485,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,1852,WFC
486,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704,1970,WELL
487,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,105770,1923,WST
488,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,106040,1970,WDC
489,WestRock,Materials,Paper Packaging,"Atlanta, Georgia",,1732845,2015,WRK
490,Weyerhaeuser,Real Estate,Specialized REITs,"Seattle, Washington",,106535,1900,WY
491,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911,WHR
492,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263,1908,WMB
493,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,1140536,2016,WTW
494,W. W. Grainger,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981-06-30,277135,1927,GWW
495,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,1174922,2002,WYNN
496,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,72903,1909,XEL
497,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,1524472,2011,XYL
498,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061,1997,YUM
499,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,877212,1969,ZBRA
500,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1136869,1927,ZBH
501,Zions Bancorporation,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,109380,1873,ZION
502,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,1555280,1952,ZTS
